,0,1,2,3
"[6.0, 6.0, 54.0, 54.0]",8.968713348550002e-08,7.386297940406743e-06,-0.029701,5.562739322711866e-08
"[6.0, 66.0, 54.0, 114.0]",2.3710205247124418e-08,3.8360571263867877e-08,4.7118165437018257e-05,1.297530768674826e-07
"[6.0, 126.0, 54.0, 174.0]",0.0,0.0,1.3605778882240379e-05,0.0
hell,0.0,0.0,0.0,0.0
"[66.0, 66.0, 114.0, 114.0]",-0.0490099501,0.0002836436791861441,1.122550782336778e-07,3.8293997324228053e-08
"[126.0, 66.0, 174.0, 114.0]",-0.0199,9.732458751032283e-05,0.0,1.3057666900763259e-06
"[66.0, 126.0, 114.0, 174.0]",2.8083544875286985e-07,2.6340014611924954e-11,0.0014822141743758902,1.2590369894260162e-08
"[66.0, 186.0, 114.0, 234.0]",0.0,0.0,1.4754206873763415e-08,0.0
"[6.0, 186.0, 54.0, 234.0]",0.0,0.0,0.0,0.0
"[126.0, 186.0, 174.0, 234.0]",5.9597552348719584e-05,4.3806474125083904e-08,3.338118733309888e-12,0.0
"[186.0, 186.0, 234.0, 234.0]",0.0,6.913754313182933e-09,3.9735149721335656e-05,0.0
"[246.0, 186.0, 294.0, 234.0]",0.0025442176428023136,2.8779386159286242e-06,0.0,6.913754313182933e-09
"[306.0, 186.0, 354.0, 234.0]",0.0,0.0,3.8394400680469054e-05,0.0
"[366.0, 186.0, 414.0, 234.0]",0.011451446892793801,0.0,0.0,0.0
"[366.0, 126.0, 414.0, 174.0]",0.4879668555098637,6.531280490551634e-05,0.014938851599075825,0.0006263033228892558
"[366.0, 66.0, 414.0, 114.0]",0.8394518088891034,0.01116015092599854,0.028714592279334816,0.00023563663678220927
"[306.0, 126.0, 354.0, 174.0]",0.000824394062563,7.701348374352135e-08,0.21226551033698307,0.001060481653948288
"[306.0, 66.0, 354.0, 114.0]",-0.0490099501,0.0,0.04599195987010694,0.0
"[246.0, 66.0, 294.0, 114.0]",-0.0199,2.165168611111946e-06,0.0008327806705554241,0.0
"[246.0, 126.0, 294.0, 174.0]",4.64324625359058e-06,6.605994074432985e-06,0.07818744208042741,0.00013281613633473697
"[186.0, 126.0, 234.0, 174.0]",6.213455242824128e-07,3.0746849199742393e-07,0.022841692996063194,0.00010916619206185433
"[186.0, 66.0, 234.0, 114.0]",-0.01,7.846487452511594e-05,0.0,0.0
"[126.0, 126.0, 174.0, 174.0]",1.2400324679532828e-06,3.168256619944909e-07,0.006376474528256807,1.0040413737947823e-05
terminal,0.0,0.0,0.0,0.0
