2021-08-30 10:45:44,248 - run_q_learning.py[line:47] - INFO: Q-table:
                                     0             1         2         3
[6.0, 6.0, 54.0, 54.0]        0.000000  1.227176e-01 -0.271000  0.001658
[6.0, 66.0, 54.0, 114.0]      0.014579  2.539737e-03  0.183781  0.001213
[6.0, 126.0, 54.0, 174.0]     0.000000  0.000000e+00  0.059048  0.000000
hell                          0.000000  0.000000e+00  0.000000  0.000000
[66.0, 66.0, 114.0, 114.0]   -0.468559  2.746540e-01  0.000438  0.000000
[126.0, 66.0, 174.0, 114.0]  -0.190000  4.869379e-03  0.000000  0.000000
[66.0, 126.0, 114.0, 174.0]   0.016492  2.755033e-08  0.387282  0.000904
[66.0, 186.0, 114.0, 234.0]   0.000000  0.000000e+00  0.001628  0.000000
[6.0, 186.0, 54.0, 234.0]     0.000000  0.000000e+00  0.000000  0.000000
[126.0, 186.0, 174.0, 234.0]  0.047841  0.000000e+00  0.000020  0.000000
[186.0, 186.0, 234.0, 234.0]  0.000000  0.000000e+00  0.004664  0.000000
[246.0, 186.0, 294.0, 234.0]  0.103889  0.000000e+00  0.000000  0.000000
[306.0, 186.0, 354.0, 234.0]  0.000000  0.000000e+00  0.000000  0.000000
[366.0, 186.0, 414.0, 234.0]  0.095782  0.000000e+00  0.000000  0.000000
[366.0, 126.0, 414.0, 174.0]  0.898411  1.627462e-03  0.189022  0.068110
[366.0, 66.0, 414.0, 114.0]   0.999841  6.997375e-02  0.356815  0.005824
[306.0, 126.0, 354.0, 174.0]  0.029343  0.000000e+00  0.802725  0.000000
[306.0, 66.0, 354.0, 114.0]  -0.271000  0.000000e+00  0.276152  0.000000
[246.0, 66.0, 294.0, 114.0]  -0.190000  1.139143e-01  0.002786  0.000000
[246.0, 126.0, 294.0, 174.0]  0.007508  4.998501e-03  0.706674  0.010580
[186.0, 126.0, 234.0, 174.0]  0.004131  2.352227e-04  0.604803  0.076786
[186.0, 66.0, 234.0, 114.0]  -0.100000  8.900246e-02  0.000000  0.000000
[126.0, 126.0, 174.0, 174.0]  0.000000  1.766730e-06  0.500476  0.027071
terminal                      0.000000  0.000000e+00  0.000000  0.000000
