,0,1,2,3
"[6.0, 6.0, 94.0, 94.0]",3.322530191489584e-07,7.215045337598592e-05,-0.19027213177874144,5.977346487179277e-07
"[6.0, 106.0, 94.0, 194.0]",1.7306389182403133e-06,9.191977654076463e-09,0.00033495148456914826,6.4828420880310855e-06
"[6.0, 206.0, 94.0, 294.0]",8.447735089039967e-19,7.723488224820783e-17,8.593516672387234e-07,1.0068119889407736e-10
hell,0.0,0.0,0.0,0.0
"[106.0, 106.0, 194.0, 194.0]",-0.15705680661607313,1.2209344826395542e-07,0.00168875347936477,8.884799687480954e-07
"[206.0, 106.0, 294.0, 194.0]",-0.11361512828387071,1.2138362414953822e-07,0.007264968793876749,1.9850826321390966e-05
"[106.0, 206.0, 194.0, 294.0]",5.305804700961112e-05,1.7716093308984691e-15,3.137751666050091e-09,0.0
"[206.0, 206.0, 294.0, 294.0]",0.0,0.0,1.1874106348573545e-05,2.983572245493821e-09
"[306.0, 206.0, 394.0, 294.0]",0.000982696346419257,7.237350450480184e-07,4.9369136287964104e-08,1.7821120920025437e-10
"[406.0, 206.0, 494.0, 294.0]",0.0008450684606243696,1.3142469228069423e-06,5.8948753773369194e-05,1.4673416569882858e-07
"[506.0, 206.0, 594.0, 294.0]",0.009009880439345586,1.2290457136390151e-06,0.0,0.0
"[606.0, 206.0, 694.0, 294.0]",0.01848874077951082,6.2576797513384745e-06,2.3555173548440353e-05,0.0
"[606.0, 106.0, 694.0, 194.0]",0.6945409740716953,0.00026992895366325926,0.012728196851725299,0.01028219985821965
terminal,0.0,0.0,0.0,0.0
"[306.0, 106.0, 394.0, 194.0]",-0.13994164535871148,1.704986532041362e-05,0.030404869053815904,2.4857933574266175e-05
"[406.0, 106.0, 494.0, 194.0]",-0.06793465209301,1.894491754084537e-05,0.10379706079234727,0.00047090959377247817
"[506.0, 106.0, 594.0, 194.0]",-0.09561792499119551,6.36567286695633e-05,0.3121796260415968,0.0009839264495919255
