,0,1,2,3
"[6.0, 6.0, 54.0, 54.0]",-0.00025285675986667753,-3.3661159370161656e-06,-0.06793465209301,-0.00017042919119876363
"[6.0, 66.0, 54.0, 114.0]",-8.31973072076646e-05,-1.2877570463508466e-07,-0.0002620033977532314,-7.499704269801292e-07
"[6.0, 126.0, 54.0, 174.0]",-3.34627395420965e-06,-4.451406697658644e-08,-1.2378851608246766e-06,-6.38770776932942e-08
hell,0.0,0.0,0.0,0.0
"[66.0, 66.0, 114.0, 114.0]",-0.03940399,-7.245778691173382e-09,-1.5957760084746186e-06,-7.48982438081031e-09
"[126.0, 66.0, 174.0, 114.0]",-0.029701,-7.722229966517447e-07,-8.096257438459723e-07,-0.000177309
"[66.0, 126.0, 114.0, 174.0]",-8.645383254872254e-05,-3.1537356673883e-08,-7.859421900000002e-07,-3.161226947904906e-08
"[126.0, 126.0, 174.0, 174.0]",-8.560325202913495e-05,-2.1049545795930944e-08,9.156757454476188e-07,-7.035822823949096e-13
"[186.0, 126.0, 234.0, 174.0]",-8.909987221187863e-05,7.579053856315036e-11,0.00011149942121045916,4.1616339484711e-09
"[246.0, 126.0, 294.0, 174.0]",3.778275582859358e-05,2.4481251697416913e-06,0.004083206958412586,1.1059587289517824e-06
"[306.0, 126.0, 354.0, 174.0]",0.02955850291578424,4.383573026574336e-06,4.3199262304604155e-05,1.835593639463941e-05
"[366.0, 126.0, 414.0, 174.0]",0.01158704885476475,0.0,0.0,2.2669018160314e-05
"[366.0, 66.0, 414.0, 114.0]",0.5479563497335244,0.00010273006115222948,0.012352008923105196,0.0018156341090533224
terminal,0.0,0.0,0.0,0.0
"[186.0, 66.0, 234.0, 114.0]",-0.0199,1.5499771202563454e-07,-8.901404216658001e-05,-0.00017909999179618763
"[246.0, 66.0, 294.0, 114.0]",-0.0199,0.0,0.0028672194965068754,6.522564822791404e-10
"[246.0, 186.0, 294.0, 234.0]",0.000397733785982137,1.97781195251621e-06,3.6801157495304565e-07,5.1651722762932325e-08
"[306.0, 186.0, 354.0, 234.0]",0.00043875911785172734,2.362758176737005e-06,0.0,0.0
"[186.0, 186.0, 234.0, 234.0]",2.0446809082261284e-07,8.32911199436491e-08,3.6918916678365655e-05,-2.0475768922348844e-08
"[126.0, 186.0, 174.0, 234.0]",-2.2546649839204723e-06,-3.6574275425560667e-09,2.620432509564335e-06,-1.6306278126221458e-08
"[366.0, 186.0, 414.0, 234.0]",0.0,0.0,0.0,0.0
"[66.0, 186.0, 114.0, 234.0]",-1.3408741922023464e-06,-4.749951795731041e-08,1.467880527437483e-07,-4.0876607336175035e-08
"[6.0, 186.0, 54.0, 234.0]",-2.987655438652048e-07,-6.396393947392076e-08,-4.7770732902595296e-08,-6.443403704982188e-08
"[306.0, 66.0, 354.0, 114.0]",-0.029701,0.0006226114296736259,0.14813832933776697,3.485733353933722e-06
