2021-08-30 10:40:32,861 - run_sarsa.py[line:46] - INFO: Q-table:
                                         0             1             2    3
[6.0, 6.0, 54.0, 54.0]        0.000000e+00  1.614140e-08 -1.000000e-02  0.0
[6.0, 66.0, 54.0, 114.0]      0.000000e+00  0.000000e+00  2.114492e-07  0.0
[6.0, 126.0, 54.0, 174.0]     0.000000e+00  0.000000e+00  4.475947e-15  0.0
hell                          0.000000e+00  0.000000e+00  0.000000e+00  0.0
[66.0, 66.0, 114.0, 114.0]   -1.000000e-02  2.467755e-06  0.000000e+00  0.0
[126.0, 66.0, 174.0, 114.0]  -1.000000e-02  0.000000e+00  0.000000e+00  0.0
[66.0, 126.0, 114.0, 174.0]   0.000000e+00  0.000000e+00  2.536673e-05  0.0
[126.0, 126.0, 174.0, 174.0]  0.000000e+00  0.000000e+00  2.264067e-04  0.0
[186.0, 126.0, 234.0, 174.0]  0.000000e+00  0.000000e+00  1.722786e-03  0.0
[246.0, 126.0, 294.0, 174.0]  0.000000e+00  0.000000e+00  1.090956e-02  0.0
[306.0, 126.0, 354.0, 174.0]  5.562581e-02  0.000000e+00  0.000000e+00  0.0
[366.0, 126.0, 414.0, 174.0]  0.000000e+00  0.000000e+00  0.000000e+00  0.0
[366.0, 66.0, 414.0, 114.0]   6.112161e-01  0.000000e+00  0.000000e+00  0.0
terminal                      0.000000e+00  0.000000e+00  0.000000e+00  0.0
[66.0, 186.0, 114.0, 234.0]   0.000000e+00  0.000000e+00  1.898839e-16  0.0
[126.0, 186.0, 174.0, 234.0]  1.052898e-12  0.000000e+00  0.000000e+00  0.0
[6.0, 186.0, 54.0, 234.0]     0.000000e+00  0.000000e+00  0.000000e+00  0.0
[186.0, 186.0, 234.0, 234.0]  0.000000e+00  0.000000e+00  0.000000e+00  0.0
[246.0, 186.0, 294.0, 234.0]  0.000000e+00  0.000000e+00  0.000000e+00  0.0
[186.0, 66.0, 234.0, 114.0]  -1.000000e-02  0.000000e+00  0.000000e+00  0.0
[306.0, 186.0, 354.0, 234.0]  7.290000e-09  0.000000e+00  0.000000e+00  0.0
[366.0, 186.0, 414.0, 234.0]  0.000000e+00  0.000000e+00  0.000000e+00  0.0
[306.0, 66.0, 354.0, 114.0]  -1.000000e-02  0.000000e+00  2.178609e-01  0.0
[246.0, 66.0, 294.0, 114.0]  -1.000000e-02  0.000000e+00  1.182963e-05  0.0
