,0,1
[ 0.0335484  -0.00207218 -0.00700848  0.0267249 ],0.0,0.9
[ 0.03350696  0.19314957 -0.00647399 -0.268161  ],0.0,0.9
[ 0.03736995  0.3883633  -0.01183721 -0.56287885],0.9,0.0
[ 0.04513722  0.19340944 -0.02309478 -0.27394858],0.0,0.9
[ 0.04900541  0.3888532  -0.02857375 -0.57382524],0.0,0.9
[ 0.05678247  0.5843638  -0.04005026 -0.8753711 ],0.0,0.9
[ 0.06846975  0.78000665 -0.05755768 -1.1803716 ],0.9,0.0
[ 0.08406989  0.5856772  -0.08116511 -0.90627277],0.0,0.9
[ 0.09578343  0.7817988  -0.09929057 -1.223323  ],0.9,0.0
[ 0.1114194   0.588086   -0.12375703 -0.9633285 ],0.0,0.9
[ 0.12318112  0.7846339  -0.1430236  -1.2921872 ],0.9,0.0
[ 0.1388738   0.59159    -0.16886733 -1.0474837 ],0.9,0.0
[ 0.1507056   0.3990621  -0.18981701 -0.81221104],0.0,0.9
[ 0.15868685  0.5962064  -0.20606123 -1.1580877 ],0.9,0.0
[ 0.17061096  0.40427694 -0.229223   -0.9364383 ],0.0,0.0
[-0.02633095  0.0448868  -0.04216221  0.01001972],0.9,0.0
[-0.02543321 -0.14960593 -0.04196182  0.2891075 ],0.9,0.0
[-0.02842533 -0.34410515 -0.03617967  0.5682664 ],0.9,0.0
[-0.03530744 -0.5387015  -0.02481434  0.8493353 ],0.0,0.9
[-0.04608146 -0.34325004 -0.00782763  0.5489538 ],0.0,0.9
[-0.05294647 -0.14801902  0.00315144  0.25381494],0.9,0.0
[-0.05590685 -0.34318584  0.00822774  0.5474902 ],0.0,0.9
[-0.06277056 -0.14818043  0.01917754  0.25741094],0.9,0.0
[-0.06573417 -0.34357086  0.02432576  0.5560805 ],0.9,0.0
[-0.07260559 -0.5390257   0.03544737  0.8563272 ],0.0,0.9
[-0.0833861  -0.34440425  0.05257392  0.5749977 ],0.0,0.9
[-0.09027419 -0.15005723  0.06407387  0.29932955],0.9,0.0
[-0.09327533 -0.3460312   0.07006046  0.6115121 ],0.9,0.0
[-0.10019596 -0.54205877  0.0822907   0.9254131 ],0.9,0.0
[-0.11103714 -0.73818994  0.10079896  1.2427804 ],0.9,0.0
[-0.12580094 -0.9344507   0.12565458  1.565262  ],0.9,0.0
[-0.14448994 -1.1308305   0.15695982  1.8943547 ],0.0,0.9
[-0.16710655 -0.93772084  0.19484691  1.6542078 ],0.9,0.0
[-0.18586098 -1.1345103   0.22793107  2.0007296 ],0.0,0.0
[0.03850423 0.03585704 0.00741783 0.03903619],0.0,0.9
[ 0.03922137  0.23087184  0.00819855 -0.25129715],0.0,0.9
[ 0.04383881  0.42587575  0.00317261 -0.54138285],0.0,0.9
[ 0.05235633  0.62095296 -0.00765505 -0.83306444],0.0,0.9
[ 0.06477538  0.8161787  -0.02431634 -1.128145  ],0.9,0.0
[ 0.08109896  0.62138355 -0.04687924 -0.843187  ],0.0,0.9
[ 0.09352663  0.81711286 -0.06374297 -1.1502359 ],0.9,0.0
[ 0.10986888  0.6228781  -0.08674769 -0.8782031 ],0.0,0.9
[ 0.12232645  0.8190649  -0.10431176 -1.1968488 ],0.9,0.0
[ 0.13870774  0.62543625 -0.12824874 -0.9385964 ],0.0,0.9
[ 0.15121648  0.82203215 -0.14702065 -1.2686703 ],0.0,0.9
[ 0.1676571   1.0186934  -0.17239407 -1.6035484 ],0.9,0.0
